year,age,mx,log_mx
1970,50,0.0010879497758443611,-6.823460293521636
1970,51,0.0012042441450228428,-6.721903174394065
1970,52,0.0012968167349581832,-6.6478426828156305
1970,53,0.0014221576084114092,-6.555580118010559
1970,54,0.0015430236335508742,-6.474011389094384
1970,55,0.0016596524542044412,-6.401147063470667
1970,56,0.0018283106056826931,-6.304362904802854
1970,57,0.0019734966082328455,-6.227948381518615
1970,58,0.0021484549605656784,-6.143006318168546
1970,59,0.002348893873367966,-6.053810753820253
1970,60,0.0025161087163733916,-5.985041731072146
1970,61,0.002814809294220183,-5.872860765965941
1970,62,0.0030079595400727354,-5.806493323758698
1970,63,0.0033300107964749763,-5.704779732810363
1970,64,0.0035942525766941165,-5.628419215768425
1970,65,0.003968122983514032,-5.529462096210668
1970,66,0.004226495479551104,-5.466382121144875
1970,67,0.004617506789204004,-5.377900375571656
1970,68,0.005059919343946289,-5.286404735741368
1970,69,0.00537037716162118,-5.226857137988954
1970,70,0.006027016224042027,-5.111503212591369
1970,71,0.006608714493624852,-5.019366123060051
1970,72,0.007165235435935465,-4.938514359074307
1970,73,0.007771945727560459,-4.857234730563834
1970,74,0.008385575882866805,-4.781242205938109
1970,75,0.009260813300655785,-4.68196340473636
1970,76,0.010061468802059643,-4.599042120787238
1970,77,0.010879704274664621,-4.520856218561184
1970,78,0.011799108704518873,-4.439731283878667
1970,79,0.01279884820962265,-4.358400095728565
1970,80,0.013813833671510524,-4.282084748961862
1970,81,0.015413367384620692,-4.172520134078745
1970,82,0.016220119451349463,-4.121502865873809
1970,83,0.017980204064685843,-4.01848390046548
1970,84,0.019680270819284466,-3.92813862631021
1970,85,0.021575785923642204,-3.8361836151608295
1970,86,0.023702711819056397,-3.742165814641839
1970,87,0.025608032959236436,-3.664849189247439
1970,88,0.02752398035816396,-3.592697641267941
1970,89,0.03027293646925696,-3.497501151428065
1970,90,0.03230935603482449,-3.4323984301761534
1970,91,0.036135372644366344,-3.3204830417400695
1970,92,0.038722007154274006,-3.2513471802552507
1970,93,0.04193980015644054,-3.1715200185068273
1970,94,0.04567642273934067,-3.0861730280112787
1970,95,0.05001681449017864,-2.9953960402831603
1970,96,0.05427398436062054,-2.9137102762326563
1970,97,0.060695645136565654,-2.801883327533811
